user_id,place_id,place_name,name,rating,types
280,6273,Aadeshwar Mahadev Temple,Aadeshwar Mahadev Temple,5, Religious Site
281,6273,Aadeshwar Mahadev Temple,Aadeshwar Mahadev Temple,5, Religious Site
282,6273,Aadeshwar Mahadev Temple,Aadeshwar Mahadev Temple,5, Religious Site
283,6273,Aadeshwar Mahadev Temple,Aadeshwar Mahadev Temple,4, Religious Site
284,6273,Aadeshwar Mahadev Temple,Aadeshwar Mahadev Temple,5, Religious Site
285,6273,Aadeshwar Mahadev Temple,Aadeshwar Mahadev Temple,5, Religious Site
44,6273,Aadeshwar Mahadev Temple,Aadeshwar Mahadev Temple,5, Religious Site
286,6273,Aadeshwar Mahadev Temple,Aadeshwar Mahadev Temple,3, Religious Site
287,6275,Maitidevi Temple,Maitidevi Temple,5, Religious Site
288,6275,Maitidevi Temple,Maitidevi Temple,5, Religious Site
289,6275,Maitidevi Temple,Maitidevi Temple,5, Religious Site
290,6275,Maitidevi Temple,Maitidevi Temple,5, Religious Site
291,6275,Maitidevi Temple,Maitidevi Temple,5, Religious Site
159,6275,Maitidevi Temple,Maitidevi Temple,5, Religious Site
292,6275,Maitidevi Temple,Maitidevi Temple,5, Religious Site
293,6275,Maitidevi Temple,Maitidevi Temple,5, Religious Site
25,6276,Uma Maheshwor Temple,Uma Maheshwor Temple,5, Religious Site
26,6276,Uma Maheshwor Temple,Uma Maheshwor Temple,4, Religious Site
27,6276,Uma Maheshwor Temple,Uma Maheshwor Temple,5, Religious Site
16,6276,Uma Maheshwor Temple,Uma Maheshwor Temple,5, Religious Site
28,6276,Uma Maheshwor Temple,Uma Maheshwor Temple,5, Religious Site
29,6276,Uma Maheshwor Temple,Uma Maheshwor Temple,5, Religious Site
30,6276,Uma Maheshwor Temple,Uma Maheshwor Temple,5, Religious Site
31,6276,Uma Maheshwor Temple,Uma Maheshwor Temple,5, Religious Site
90,65,Changu Narayan Temple,Changu Narayan,5,"park, point_of_interest, establishment"
