id,name,address,latitude,longitude,rating,second_word,types,description,removal_reason
110,New Zealand Park,"WWFC+WPX, Ilam 57300, Nepal",26.9248629,87.921854,5.0,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
111,Workout Park,"WW8F+9HX, Unnamed Road, Ilam 57300, Nepal",26.9159904,87.923978,3.5,Unnamed Road,"park, point_of_interest, establishment",Rode,Description too short (< 10 words)
112,B. P. Park,"WW5G+75R, Ilam 57300, Nepal",26.908232,87.9253824,4.9,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
113,Statue of Martyr Ratna Kumar Bantawa Rai,"WW5F+94G, Ilam 57300, Nepal",26.9084359,87.9228189,4.1,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
114,Sukilumba Park,"VWH4+PP, Ilam 57300, Nepal",26.8793571,87.906842,4.0,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
115,Karki Park,"WW8H+VP3, Ranabir Gurung Marg, Ilam 57300, Nepal",26.9171323,87.9293008,3.8,Ranabir Gurung Marg,"park, point_of_interest, establishment",,Missing description
116,Tea garden view hand,"WW5C+XXF, Ilam 57300, Nepal",26.9099323,87.9224316,4.6,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
117,"Barhabise masar,ilam","VVGQ+MF, Ilam 57300, Nepal",26.8766875,87.8886875,5.0,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
118,Shoreastha Park,"WW5G+GW3, Ilam 57300, Nepal",26.9087517,87.9272872,3.0,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
119,Bisauni Dhunga,"WW5C+XXF Tea garden view hand, Ilam 57300, Nepal",26.9103204,87.9221493,5.0,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
120,Janaki Chock,"WW5H+36C, Ilam 57300, Nepal",26.9081342,87.9276691,0.0,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
121,Nar Bahadur Samarung's Tea garden,"Ilam 57300, Nepal",26.9256953,87.857104,5.0,Nepal,"park, point_of_interest, establishment",,Missing description
122,Deurali,"WWC9+3GV, Ilam 57300, Nepal",26.9202464,87.9187975,0.0,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
123,Padam kanta's tea garden 🏡,"VV76+PMG, Ilam 57300, Nepal",26.8643133,87.8617117,0.0,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
124,Statue of Martyr Bam Prasad Bantawa,"WW5F+GF5, Ilam 57300, Nepal",26.9087678,87.9237453,0.0,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
125,Rajbanshi tol,"J37F+337, Himali Chowk Bus Stop, Jhapa, Mechi Hwy, Bhadrapur 57200, Nepal",26.6126567,88.0726716,0.0,Himali Chowk Bus Stop,"park, point_of_interest, establishment",Batumi,Description too short (< 10 words)
126,Manoria vegetation Kailali,"MJPC+3JW, Kailali, Dhandaghi, Dhangadhi, Nepal",28.685244,80.621591,4.2,Kailali,"park, point_of_interest, establishment",,Missing description
127,Orange orchard (house conditioned) 🍊,"Chure 01 Kailali Chure 01, 10900, Nepal",29.0033162,80.6676659,5.0,10900,"park, point_of_interest, establishment",Capital City of Prague,Description too short (< 10 words)
128,"Khadgaun vokunday,kaskikot, Nepal","7VGR+9V5, Khadgakot, Kaskikot, Nepal",28.2758836,83.8922191,4.7,Khadgakot,"park, point_of_interest, establishment",,Missing description
129,Sankhamul Park,"Kathmandu 44600, Nepal",27.6788847,85.3312506,4.1,Nepal,"park, point_of_interest, establishment",,Missing description
130,Tinkune Park,"Ring Rd, Kathmandu 44600, Nepal",27.6853659,85.3488678,3.5,Kathmandu,"park, point_of_interest, establishment",Kathmandu,Generic location description
131,Madan Bhandari Smriti Vatika,"Kathmandu 44600, Nepal",27.681429,85.3433998,4.3,Nepal,"park, point_of_interest, establishment",,Missing description
132,BUDDHA PARK Boudhanath,"44600, Kathmandu, Nepal",27.7223837,85.3614813,4.5,Kathmandu,"park, tourist_attraction, point_of_interest, establishment",Kathmandu,Generic location description
133,Suryamukhi Park,"Kathmandu 44600, Nepal",27.6905987,85.3670526,4.1,Nepal,"park, point_of_interest, establishment",,Missing description
134,Balaju Park,"P8M2+GFM, Trishuli Hwy, Kathmandu 44600, Nepal",27.7338465,85.3011804,4.1,Trishuli Hwy,"park, amusement_park, tourist_attraction, point_of_interest, establishment",Huy,Description too short (< 10 words)
135,Buddha park,"M7RV+326, Kathmandu 44600, Nepal",27.6902968,85.2928922,4.7,Kathmandu,"park, point_of_interest, establishment",Kathmandu,Generic location description
136,Shankha Park,"P8MV+93R, Pragati Tole Marg, Kathmandu 44600, Nepal",27.7334797,85.3426304,4.2,Pragati Tole Marg,"park, point_of_interest, establishment",Tholen,Description too short (< 10 words)
137,New Baneshwor Park,"M8QP+X7M, Kathmandu 44600, Nepal",27.6899742,85.3356834,3.8,Kathmandu,"park, point_of_interest, establishment",Kathmandu,Generic location description
139,Narayanchaur Park Naxal,"Sama Marga, Kathmandu 44600, Nepal",27.7145886,85.3255148,4.4,Kathmandu,"park, point_of_interest, establishment",Kathmandu,Generic location description
140,Jump KTM Indoor Trampoline Park,"Dhumbarahi Marg, Kathmandu 44600, Nepal",27.7346197,85.3462353,4.0,Kathmandu,"amusement_park, park, point_of_interest, establishment",Kathmandu,Generic location description
141,Switzerland Park Aloknagar,"M8MQ+3F4, Unnamed Road, Kathmandu 44600, Nepal",27.6826285,85.3386885,4.2,Unnamed Road,"park, point_of_interest, establishment",Rode,Description too short (< 10 words)
142,Namuna Park,"M9Q7+HH5, Kathmandu 44600, Nepal",27.6888768,85.3639724,4.1,Kathmandu,"park, point_of_interest, establishment",Kathmandu,Generic location description
143,Raniban Park,"P7PQ+GGX Ward no 1, Raniban Park, Nagarjung, Kathmandu 44600, Nepal",27.7363667,85.2888608,4.3,Raniban Park,"park, point_of_interest, establishment",Rockville,Description too short (< 10 words)
144,Khusibu Children Park,"P892+465, Kathmandu 44600, Nepal",27.7177548,85.3006209,4.2,Kathmandu,"park, point_of_interest, establishment",Kathmandu,Generic location description
145,Bhurungkhel Green Park,"P853+VWW, Burakhya Marg, Kathmandu 44600, Nepal",27.7097317,85.3048404,3.8,Burakhya Marg,"park, point_of_interest, establishment",Armagh,Description too short (< 10 words)
146,Children’s Park,"P8WW+5VW, Kathmandu 44600, Nepal",27.7454886,85.3472111,4.0,Kathmandu,"park, point_of_interest, establishment",Kathmandu,Generic location description
147,Samakhusi Children Park,"P8F7+JC5, Road, Kathmandu 44600, Nepal",27.7240061,85.3136197,3.8,Road,"park, point_of_interest, establishment",Rode,Description too short (< 10 words)
148,Apple Ground Public Park Narephat,"M992+HHW, Kathmandu 44600, Nepal",27.6684625,85.3517663,4.0,Kathmandu,"park, point_of_interest, establishment",Kathmandu,Generic location description
