id,name,address,latitude,longitude,location,types,
187,ArTree Nepal,"M8V7+X58, Samarpan Marg, Kathmandu 44600, Nepal",27.6948949,85.312953,Samarpan Marg,"art_gallery, point_of_interest, establishment",
188,Aradhana Baptist church Khotang,"8V53+M6P, baasapaanaii 56200, naepaala",27.3091997,86.853079,baasapaanaii,,
189,Aradhana church,"pratappur 4, thauulaokhaairatawaa, naepaala",27.4358896,83.7630903,thauulaokhaairatawaa, church,
190,Aradhana jyoti church,"J7GQ+9GR, dakashainakaalaii 44600, naepaala",27.6260369,85.2887612,dakashainakaalaii, church,
191,Aradhna Church Madhuwan 7 Bardiya,"7799+5P8, saanaosharaii taaraataala 21800, naepaala",28.2679257,81.2693455,saanaosharaii, church,
192,Araniko Newa And Traditional Arts,"Patan durbar square,krishna temple, Lalitpur 44600, Nepal",27.6738129,85.3249196,krishna temple,"art_gallery, point_of_interest, establishment",
193,Archale,"94H8+QXM, manathalaii 45400, naepaala",27.3794687,86.1174089,manathalaii, church,
194,Archis gallery,"M27X+W7P, charaikaota - laamabagara sadaka, bhaimaeshawara nagarapaalaikaa 45500, naepaala",27.6647098,86.0483172,charaikaota - laamabagara sadaka, art_gallery,
195,"Arelighari dhodeni, Nawalparasi","Arelighari dhodeni to, gaaimdaakaota 33000, naepaala",27.7505808,84.3817729,gaaimdaakaota,,
196,Argakhanchi Rock Garden,"24FX+79H, sanadhaiikharaka 32700, naepaala",28.0231931,83.1484697,sanadhaiikharaka,,
197,Arghakhanchi,"X4GJ+GM, sanadhaiikharaka 32700, naepaala",27.9763333,83.1317319,sanadhaiikharaka, trek,
198,Arghakhanchi chhatradev 2 chayandada,"X6JJ+PXX, chayandada, 2, naepaala",27.9818624,83.2324835,chayandada, art_gallery,
199,Arghakhanchi nepal,"V4VC+HRR, Mandre 32700, naepaala",27.8939888,83.1220074,Mandre, art_gallery,
200,Arichour Picnic Sport,"W3C7+68V, dhanachaaura 32700, naepaala",27.9206042,83.063299,dhanachaaura, picnic,
201,Arjun Nepali Arghakhanchi,"Arghakhanchi malarani -8, chhahara, Nepal",28.0732956,83.0484613,chhahara,"museum, point_of_interest, establishment",
202,Arjun newpane,"88VR+4H6, 56900, naepaala",27.3427994,87.3413951,56900, museum,
203,Ark Church,"F8G6+HH4, laumabainaii saaँsakaृtaika 32900, naepaala",27.4763908,83.3114995,laumabainaii, church,
204,Arnaha masjid,"Q9JJ+2RC, aranaahaa 45800, naepaala",26.7800508,85.3820446,aranaahaa, mosque,
205,Art & Arts,"JF4V+872, tailaotatamaa 32903, naepaala",27.6057727,83.4931212,tailaotatamaa, art_gallery,
206,Art Cafe,"saauraahaa raoda, rata‍nanagara 44200, naepaala",27.5812515,84.4942286,rata‍nanagara, art_gallery,
207,Art Media,"sunwal-5, saunawala 33000, naepaala",27.6271937,83.6454831,saunawala, art_gallery,
208,Art Nepal,"P8G8+6QC, Bal Kumari Marg, Kathmandu 44600, Nepal",27.7255601,85.3169041,Bal Kumari Marg,"art_gallery, point_of_interest, establishment",
209,Art of Nepalaya,"Kathmandu 44600, Nepal",27.7105952,85.3116353,Nepal,"art_gallery, point_of_interest, establishment",
210,Art writes,"ghaoraahaii 22400, naepaala",28.0451294,82.4836972,naepaala, art_gallery,
211,ArtRiya Institute of Fine Arts,"Shreebachchha Mahavihar, Shreebaha Marg, lalaitapaura 44600, naepaala",27.6753449,85.3196453,Shreebaha Marg, art_gallery,
