,id,name,address,latitude,longitude,rating,second_word,types,Description
132,189,BUDDHA PARK Boudhanath,"44600, Kathmandu, Nepal",27.7223837,85.3614813,4.5,Kathmandu,"park, tourist_attraction, point_of_interest, establishment","Kassapa Buddha (Pāli), is one of the ancient Buddhas whose biography is chronicled in chapter 24 of the Buddhavaṃsa, one of the books of the Pali Canon. He was the previous Buddha of this aeon before the present Gautama Buddha, though Kassapa lived long before him.
According to Theravāda Buddhist tradition, Kassapa is the twenty-seventh of the twenty-nine named Buddhas, the sixth of the Seven Buddhas of Antiquity, and the third of the five Buddhas of the present kalpa."
133,191,Suryamukhi Park,"Kathmandu 44600, Nepal",27.6905987,85.3670526,4.1,Nepal,"park, point_of_interest, establishment","Aparna Sen is an Indian filmmaker, screenwriter and actress who is known for her work in Bengali cinema. A leading actress of the late 1960s and 1970s she has received eight BFJA Awards, five for best actress, two for best supporting actress and one for lifetime achievement. She is the winner of nine National Film Awards and nine international film festival awards for her direction in films."
134,192,Balaju Park,"P8M2+GFM, Trishuli Hwy, Kathmandu 44600, Nepal",27.7338465,85.3011804,4.1,Trishuli Hwy,"park, amusement_park, tourist_attraction, point_of_interest, establishment","Balaju (Persian: بالاجو, also Romanized as Bālājū; also known as Bālājūn) is a village in Doruneh Rural District, Anabad District, Bardaskan County, Razavi Khorasan Province, Iran. At the 2006 census, its population was 22, in 4 families."
135,193,Buddha park,"M7RV+326, Kathmandu 44600, Nepal",27.6902968,85.2928922,4.7,Kathmandu 44600,"park, point_of_interest, establishment","Buddha Park, also known as Xieng Khuan (as well as other variations of the spelling), is a sculpture park 25 km southeast from Vientiane, Laos, in a meadow by the Mekong River. Although it is not a temple (wat), it may be referred to as Wat Xieng Khuan (Lao: ວັດຊຽງຄວນ;Thai: วัดเซียงควน), since it contains numerous religious images. The name Xieng Khuan means ""spirit city""."
136,194,Shankha Park,"P8MV+93R, Pragati Tole Marg, Kathmandu 44600, Nepal",27.7334797,85.3426304,4.2,Pragati Tole Marg,"park, point_of_interest, establishment","Ashta Lakshmi (Sanskrit: अष्टलक्ष्मी, IAST: Aṣṭalakṣmī; lit. ""Octet of Lakshmi"") or Ashtalakshmi, is a group of the eight manifestations of Lakshmi, the Hindu goddess of prosperity. She presides over eight sources of wealth: spirituality, material wealth, agriculture, royalty, knowledge, courage, progeny, and victory."
137,196,New Baneshwor Park,"M8QP+X7M, Kathmandu 44600, Nepal",27.6899742,85.3356834,3.8,Kathmandu 44600,"park, point_of_interest, establishment","Sajha Yatayat (Nepali: साझा यातायात) is a public transportation bus system in Nepal serving the capital city of Kathmandu as well as its surrounding valley. Popularly known as Sajha Bus mainly runs bus routes throughout Kathmandu and Lalitpur city. Since 2016 Sajha Yatayat has expanded its network and provides long haul bus service to Baglung, Gorkha, Birgunj and Lumbini."
138,198,Kamal Pokhari Park,"P86G+49X, Kamal Pokhari St, Kathmandu 44600, Nepal",27.7103591,85.3259695,4.4,Kamal Pokhari St,"park, point_of_interest, establishment","A dhunge dhara (Nepali: ढुङ्गे धारा  lit. 'stone faucet') or hiti (Newar: 𑐴𑐶𑐟𑐶‎) is a traditional stone drinking fountain found in Nepal. It is an intricately carved stone waterway through which water flows uninterrupted from underground sources. Dhunge dharas are part of a comprehensive drinking water supply system, commissioned by various rulers of Ancient and Medieval Nepal."
139,199,Narayanchaur Park Naxal,"Sama Marga, Kathmandu 44600, Nepal",27.7145886,85.3255148,4.4,Kathmandu 44600,"park, point_of_interest, establishment","Nepal Rastra Bank has licensed 107 BFIs as of mid-July 2024. This is a list of banks and financial institutions in Nepal licensed by the Nepal Rastra Bank and their branches/ extension counters.


== Class A: Commercial banks ==
Commercial banks are classified as Class ""A"" banks by the Nepal Rastra Bank."
140,200,Jump KTM Indoor Trampoline Park,"Dhumbarahi Marg, Kathmandu 44600, Nepal",27.7346197,85.3462353,4.0,Kathmandu 44600,"amusement_park, park, point_of_interest, establishment",Grand Prix motorcycle racing is the highest class of motorcycle road racing events held on road circuits sanctioned by the Fédération Internationale de Motocyclisme (FIM). Independent motorcycle racing events have been held since the start of the twentieth century and large national events were often given the title Grand Prix. The foundation of the Fédération Internationale de Motocyclisme as the international governing body for motorcycle sport in 1949 provided the opportunity to coordinate rules and regulations in order that selected events could count towards official World Championships.
141,201,Switzerland Park Aloknagar,"M8MQ+3F4, Unnamed Road, Kathmandu 44600, Nepal",27.6826285,85.3386885,4.2,Unnamed Road,"park, point_of_interest, establishment",
142,202,Namuna Park,"M9Q7+HH5, Kathmandu 44600, Nepal",27.6888768,85.3639724,4.1,Kathmandu 44600,"park, point_of_interest, establishment","Bjeshkët e Nemuna National Park (Albanian: Parku Kombëtar Bjeshkët e Nemuna) is a national park in the districts of Gjakovë and Pejë in western Kosovo. It encompasses 63,028 hectares (630.28 km2) of mountainous terrain, with numerous lakes, dense deciduous and coniferous forests and alpine landscapes. The park was established to protect its ecosystems and biodiversity, as well as the cultural and historical heritage."
143,203,Raniban Park,"P7PQ+GGX Ward no 1, Raniban Park, Nagarjung, Kathmandu 44600, Nepal",27.7363667,85.2888608,4.3,Raniban Park,"park, point_of_interest, establishment",
144,204,Khusibu Children Park,"P892+465, Kathmandu 44600, Nepal",27.7177548,85.3006209,4.2,Kathmandu 44600,"park, point_of_interest, establishment",
145,205,Bhurungkhel Green Park,"P853+VWW, Burakhya Marg, Kathmandu 44600, Nepal",27.7097317,85.3048404,3.8,Burakhya Marg,"park, point_of_interest, establishment",
146,206,Children’s Park,"P8WW+5VW, Kathmandu 44600, Nepal",27.7454886,85.3472111,4.0,Kathmandu 44600,"park, point_of_interest, establishment",
